Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,IP,TBF,H,R,ER,HR,BB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Gavin Braunecker","APSU",,10,0,4.242857142857143,15,6,1,1,1,70,305,70,35,33,8,17,5,4,0,62,"Gavin Braunecker","sa3027613",
"Callan Fang","HARV",21,3,3,4.359375,11,11,0,0,0,64,280,68,33,31,8,20,6,2,0,62,"Callan Fang","sa3031142",823765
"Luc Fladda","TULN",,4,6,6.6913045697852285,15,15,1,0,0,76.2,346,97,61,57,13,11,14,1,0,62,"Luc Fladda","sa3031421",
"J.J. Gatti","DAY",21,5,4,6.061224253859841,16,15,0,0,0,65.1,306,68,53,44,6,35,14,7,0,62,"J.J. Gatti","sa3032052",
"Lucas Hartman","WKU",22,5,1,2.7000000643730178,22,1,0,0,3,53.1,217,34,18,16,5,22,4,5,0,62,"Lucas Hartman","sa3033352",
"Max Kuhle","JMU",21,2,4,4.017857142857143,19,5,1,0,3,56,240,52,32,25,6,21,6,3,0,62,"Max Kuhle","sa3035770",
"Mason Martinez","GRAM",,5,5,7.168141350935493,16,16,0,0,0,75.1,374,98,67,60,11,41,13,11,2,62,"Mason Martinez","sa3037188",
"Alfred Mucciarone","UML",20,1,7,6.780821917808219,14,14,0,0,0,73,348,94,61,55,8,20,15,3,0,62,"Alfred Mucciarone","sa3038509",
"Griffin Naess","CP",,7,3,3.4105263157894736,16,16,0,0,0,95,400,85,36,36,6,30,12,5,0,62,"Griffin Naess","sa3038661",
"Chris Olivier","LAM",,6,3,3.391959668951766,14,14,0,0,0,66.1,294,61,33,25,4,22,11,12,0,62,"Chris Olivier","sa3039115",
"Jacob Phillips","GASO",,7,2,5.163934426229508,18,2,0,0,1,61,268,53,37,35,6,24,14,2,0,62,"Jacob Phillips","sa3039868",
"Kevin Reed","EVAN",,3,6,7.25,14,14,1,1,0,72,338,92,62,58,18,25,11,5,0,62,"Kevin Reed","sa3040532",
"Ruger Riojas","TEX",,9,3,5.608695652173913,18,10,0,0,0,69,300,68,45,43,12,21,11,3,0,62,"Ruger Riojas","sa3040781",
"Cole Roberts","GAST",,6,4,4.690140845070423,13,10,0,0,0,71,297,61,41,37,14,26,3,5,0,62,"Cole Roberts","sa3040874",
"Dillon Schueler","UIC",21,6,7,5.530120481927711,15,15,1,1,0,83,382,89,62,51,7,33,8,3,0,62,"Dillon Schueler","sa3041796",
"Spencer Stearns","SIUE",,3,5,5.785714164446439,13,13,0,0,0,60.2,290,68,46,39,9,25,13,1,0,62,"Spencer Stearns","sa3042992",
"Landon Stump","UCLA",,6,2,5.017698945654845,18,18,0,0,0,75.1,344,74,44,42,10,39,12,4,0,62,"Landon Stump","sa3043278",
"Austin Turkington","CAL",,4,5,5.268292560384505,11,11,2,0,0,54.2,247,53,38,32,5,19,10,5,0,62,"Austin Turkington","sa3044146",
"Cam Bagwell","UNCW",,9,2,3.070588235294118,15,15,2,2,0,85,348,72,37,29,6,17,1,5,0,62,"Cam Bagwell","sa3058532",
"Ryan King","CSUB",,0,6,4.779904480707067,14,13,0,0,0,69.2,323,72,46,37,6,25,11,2,1,62,"Ryan King","sa3059685",
"Manning West","KU",21,3,2,4.166666666666667,24,7,0,0,1,54,242,44,30,25,6,38,2,5,0,62,"Manning West","sa3060907",
"Andrew Berg","ARMY",,5,3,3.9078947368421053,15,12,2,1,0,76,338,80,36,33,7,29,8,2,0,61,"Andrew Berg","sa3027014",
"Xavier Cardenas III","SDSU",22,1,6,9.236841873448977,26,6,0,0,5,50.2,265,63,56,52,8,47,6,10,1,61,"Xavier Cardenas III","sa3028415",702696
"Caylon Dygert","UTA",,7,4,4.039370200070665,15,15,0,0,0,84.2,368,96,46,38,6,15,4,4,0,61,"Caylon Dygert","sa3030720",
"Isaac Fix","DAV",22,7,5,6.976076809680585,16,15,0,0,0,69.2,334,79,62,54,10,45,11,14,1,61,"Isaac Fix","sa3031418",
"Max Grubbs","TEX",,6,2,2.8421052631578947,22,1,0,0,5,57,233,50,22,18,8,14,5,2,0,61,"Max Grubbs","sa3032792",
"Jackson Holmes","MOST",,4,4,6.294478674917365,22,5,1,0,5,54.1,250,61,38,38,7,23,9,1,0,61,"Jackson Holmes","sa3034010",
"Darin Kuskie","UPST",,5,2,6.107142857142857,16,11,0,0,0,56,252,55,45,38,10,26,5,7,0,61,"Darin Kuskie","sa3035798",
"Conor Myles","UTSA",,5,2,4.864864864864865,17,17,0,0,0,74,336,87,47,40,8,22,8,3,0,61,"Conor Myles","sa3038651",
"Hunter Pidek","OAK",,2,5,6.247934081272538,15,15,2,0,0,80.2,362,81,58,56,12,35,9,6,0,61,"Hunter Pidek","sa3039897",
"Daniel Powell","KENN",20,7,2,4.5,26,2,0,0,1,56,240,42,33,28,6,29,4,14,0,61,"Daniel Powell","sa3040147",
"Logan Schmidt","XAV",,2,5,5.719212037606527,19,10,0,0,0,67.2,298,74,45,43,11,23,6,1,0,61,"Logan Schmidt","sa3041728",
"Crawford Wade","NU",23,4,4,5.296650911053778,18,8,0,0,5,69.2,320,77,47,41,13,29,15,2,1,61,"Crawford Wade","sa3044604",
"Maddox Webb","CIT",,4,1,4.041916075337208,24,1,0,0,5,55.2,259,54,30,25,3,34,7,8,0,61,"Maddox Webb","sa3044910",
"Zach Willingham","USA",,3,6,4.520930392985868,14,12,0,0,1,71.2,333,72,41,36,8,39,9,1,0,61,"Zach Willingham","sa3045366",
"Louis Castano","HCU",22,7,1,3.994082930391818,21,2,0,0,3,56.1,235,50,29,25,7,12,6,5,0,61,"Louis Castano","sa3058834",
"Ben Davis","MSST",,4,2,3.7674419440212237,23,4,0,0,1,57.1,254,52,33,24,2,24,3,5,0,61,"Ben Davis","sa3058996",
"Kenney Fabian","UAPB",21,6,7,3.841897117346447,15,14,3,2,0,84.1,379,88,47,36,10,26,16,3,0,61,"Kenney Fabian","sa3059157",
"Jacob Heppner","UVU",,4,3,6.972527326384171,17,11,1,1,0,60.2,283,76,50,47,8,22,3,4,0,61,"Jacob Heppner","sa3059471",
"Zack Mack","LMU",22,3,1,3.673469387755102,23,3,0,0,4,49,204,38,22,20,5,21,5,5,0,61,"Zack Mack","sa3059884",821340
"Andrew Kribbs","CLT",22,3,2,4.153846153846154,16,15,0,0,0,65,285,63,34,30,4,28,11,1,0,61,"Andrew Kribbs","sa3062630",
"Aaron Boster","NKU",,4,2,5.538461538461538,15,15,0,0,0,65,303,61,50,40,7,47,10,11,0,60,"Aaron Boster","sa3027429",
"Dominic Castellano","UCF",17,6,1,4.242857027248464,23,0,0,0,2,46.2,196,35,24,22,4,20,6,3,0,60,"Dominic Castellano","sa3028607",
"Collin Clarke","ORE",,5,2,4.587378810674383,13,13,0,0,0,68.2,293,60,39,35,7,21,10,6,0,60,"Collin Clarke","sa3028976",
"Justin DeCastro","LIU",,8,5,4.3238435337662215,15,15,2,0,0,93.2,405,100,48,45,9,24,6,2,0,60,"Justin DeCastro","sa3029995",
"Carter Fink","ETSU",22,6,5,4.4792625153269086,16,16,0,0,0,72.1,335,88,53,36,7,19,11,1,0,60,"Carter Fink","sa3031340",
"Michael Foltz","GW",24,2,8,6.5131578947368425,14,14,1,0,0,76,355,91,65,55,6,36,11,4,1,60,"Michael Foltz","sa3031519",
"Zach Garcia","AMCC",22,7,4,4,14,14,1,0,0,90,391,90,51,40,9,23,6,2,0,60,"Zach Garcia","sa3031955",
"Matthew Mariano","ALB",,5,6,4.3821988653572665,20,3,0,0,2,63.2,293,70,46,31,4,30,6,4,0,60,"Matthew Mariano","sa3037043",
"Collin McKinney","ARIZ",,0,2,3.9754602157372836,15,13,0,0,0,54.1,251,47,29,24,0,35,14,3,0,60,"Collin McKinney","sa3037674",
"Kellan Montgomery","LBSU",21,9,4,4.973684210526316,14,14,1,0,0,76,353,93,49,42,9,29,9,1,0,60,"Kellan Montgomery","sa3038259",
"Alec Nigut","SIU",,7,4,5.1,14,13,0,0,0,60,269,66,41,34,10,16,7,3,0,60,"Alec Nigut","sa3038879",
"Kellen OConnor","CIN",,3,3,5.221698301124512,17,12,1,0,2,70.2,300,69,45,41,15,25,6,6,0,60,"Kellen OConnor","sa3039028",
"Mario Pesca","OKST",21,7,3,4.455000169944769,22,8,0,0,0,66.2,291,67,36,33,7,18,12,3,0,60,"Mario Pesca","sa3039759",
