name,team,age,nameascii,playerid,mlbamid,year,w,l,era,g,gs,cg,sho,sv,ip,tbf,h,r,er,hr,bb,hbp,wp,bk,so,k/9,bb/9,k/bb,hr/9,k%,bb%,k-bb%,avg,whip,babip,lob%,fip,e-f
Scott Randall,SAC,22.0,Scott Randall,sa3017752,695246.0,2021,7,2,2.885496099180961,15,14,2,1,0,87.1,350,87,32,28,7,9,3,2,0,103,10.614503507701391,0.9274808890224518,11.44444444,0.7213740247952403,0.29428571,0.02571429,0.26857143,0.25739645,1.099236609211795,0.35087719,0.75112108,3.378294171765164,-0.4927980725842027
Hunter Gregory,ODU,22.0,Hunter Gregory,sa3017754,695347.0,2021,8,2,2.9495797373802204,16,15,3,1,0,79.1,323,65,31,26,6,19,2,3,0,88,9.9831929572869,2.1554621157778535,4.63157895,0.6806722470877432,0.27244582,0.05882353,0.21362229,0.21523179,1.0588234954698228,0.28365385,0.70876289,3.6727005538997,-0.7231208165194793
Evan Shawver,CIN,21.0,Evan Shawver,sa3017780,686900.0,2021,3,1,2.719424535063175,9,9,0,0,0,46.1,189,38,16,14,4,16,4,4,0,49,9.517985872721113,3.1079137543579143,3.0625,0.7769784385894786,0.25925926,0.08465608,0.17460318,0.22485207,1.1654676578842178,0.29310345,0.80152672,4.079429743160503,-1.360005208097328
Bryce McGowan,CLT,21.0,Bryce McGowan,sa3017786,700245.0,2021,7,5,4.8375,16,15,0,0,0,80.0,373,72,49,43,9,55,12,6,0,99,11.1375,6.1875,1.8,1.0125,0.26541555,0.14745308,0.11796247,0.23529412,1.5875,0.31818182,0.71202532,5.613877010345459,-0.7763770103454588
McCade Brown,IU,20.0,McCade Brown,sa3017812,685326.0,2021,5,4,3.3934426229508197,12,12,0,0,0,61.0,267,35,29,23,5,43,7,7,0,97,14.311475409836063,6.344262295081967,2.25581395,0.7377049180327869,0.36329588,0.16104869,0.20224719,0.16129032,1.278688524590164,0.26086957,0.71794872,4.155388717964048,-0.761946095013228
Brannon Jordan,SC,22.0,Brannon Jordan,sa3017814,687561.0,2021,5,6,4.582568967716636,15,15,0,0,0,72.2,323,54,41,37,11,48,5,10,0,98,12.1376151036819,5.944954336497258,2.04166667,1.3623853687806216,0.30340557,0.14860681,0.15479876,0.2,1.4036697738951858,0.26708075,0.72052402,5.087185782116379,-0.5046168143997427
Cullen Kafka,ORE,22.0,Cullen Kafka,sa3017818,694394.0,2021,5,3,3.0,15,15,0,0,0,78.0,345,73,38,26,5,35,12,11,0,84,9.692307692307692,4.038461538461538,2.4,0.5769230769230769,0.24347826,0.10144928,0.14202899,0.24496644,1.3846153846153846,0.32535885,0.72566372,4.2345217875945265,-1.2345217875945265
Connor Cooke,UL,21.0,Connor Cooke,sa3017822,701566.0,2021,7,3,2.033472868260112,18,12,1,1,1,79.2,327,44,25,18,4,37,8,9,0,90,10.16736434130056,4.179916451423564,2.43243243,0.4518828596133582,0.27522936,0.11314985,0.16207951,0.15602837,1.016736434130056,0.21276596,0.76738609,3.8300356825143385,-1.7965628142542265
Sean Mullen,UCLA,21.0,Sean Mullen,sa3017843,680863.0,2021,9,1,3.3896103896103895,23,13,0,0,2,77.0,332,65,33,29,7,38,7,1,0,89,10.402597402597404,4.441558441558442,2.34210526,0.8181818181818182,0.26807229,0.11445783,0.15361446,0.22648084,1.3376623376623376,0.30366492,0.76846307,4.370718923791663,-0.9811085341812732
Will Bednar,MSST,21.0,Will Bednar,sa3017844,687218.0,2021,9,1,3.119133488097112,19,16,0,0,0,92.1,375,72,35,32,12,26,8,2,1,139,13.54873608892183,2.5342959590789036,5.34615385,1.169675058036417,0.37066667,0.06933333,0.30133333,0.2111437,1.061371811921934,0.31578947,0.79596413,3.4118636425061415,-0.2927301544090293
RJ Petit,CHSO,21.0,RJ Petit,sa3017848,696275.0,2021,6,5,2.7857142857142856,14,13,1,1,0,84.0,350,69,36,26,6,31,8,5,0,75,8.035714285714286,3.3214285714285716,2.41935484,0.6428571428571429,0.21428571,0.08857143,0.12571429,0.22186495,1.1904761904761905,0.27391304,0.72289157,4.665766566140311,-1.8800522804260256
