Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"Preston Joye","GAST",20,30,56,68,9,6,3,0,0,9,5,9,21,1,0,2,0,0,0,0.160714285,"Preston Joye","sa3034968",
"Jake Schulz","UTU",,29,56,62,9,8,1,0,0,4,6,4,25,1,1,0,3,0,0,0.160714285,"Jake Schulz","sa3041811",
"Luke Beckstein","KSU",19,13,25,28,4,3,1,0,0,1,0,0,7,3,0,0,0,1,0,0.16,"Luke Beckstein","sa3026858",
"Andrew Bennett","SAM",19,17,25,31,4,4,0,0,0,4,4,4,9,1,0,1,0,0,1,0.16,"Andrew Bennett","sa3026963",
"Noah Dehne","NDSU",20,22,25,35,4,4,0,0,0,4,1,7,6,0,1,2,0,0,0,0.16,"Noah Dehne","sa3030034",
"Jack Grace","CREI",,17,25,30,4,2,2,0,0,6,1,5,10,0,0,0,2,2,0,0.16,"Jack Grace","sa3032544",
"Nick Hansen","GCU",21,26,50,62,8,5,3,0,0,5,3,9,14,1,0,2,2,2,1,0.16,"Nick Hansen","sa3033165",
"Caleb Hill","NICH",20,32,75,83,12,8,3,0,1,9,5,4,15,4,0,0,1,5,2,0.16,"Caleb Hill","sa3033809",
"Kevin Pitarra","UNCW",,22,50,58,8,7,1,0,0,6,5,5,8,1,0,2,0,0,1,0.16,"Kevin Pitarra","sa3039962",
"Tyler Thompson","UTAH",,30,75,88,12,8,4,0,0,8,6,4,18,6,0,3,1,1,0,0.16,"Tyler Thompson","sa3043788",
"Brett Tressen","UIC",,23,50,58,8,4,4,0,0,7,3,6,17,1,0,1,0,2,1,0.16,"Brett Tressen","sa3044038",
"Roderick Coffee","TXSO",,25,69,79,11,9,2,0,0,5,7,5,33,4,1,0,2,0,0,0.159420289,"Roderick Coffee","sa3029100",
"David Bordieri Jr.","FDU",,19,44,58,7,5,2,0,0,6,2,11,13,1,0,2,0,0,1,0.159090909,"David Bordieri Jr.","sa3027392",
"Tommy Cartnick","URI",,21,44,62,7,6,0,0,1,11,3,16,14,1,1,0,1,0,0,0.159090909,"Tommy Cartnick","sa3028541",
"Jake Hyde","GTWN",20,17,44,49,7,5,2,0,0,3,3,5,11,0,0,0,1,0,0,0.159090909,"Jake Hyde","sa3034382",
"Chaz Myers","PAC",19,21,44,56,7,3,4,0,0,9,4,7,14,3,0,2,0,0,0,0.159090909,"Chaz Myers","sa3038636",
"Brian OBoyle","LIU",,22,63,67,10,10,0,0,0,6,4,3,27,1,0,0,1,2,1,0.158730158,"Brian OBoyle","sa3038995",
"Chris Pearsons","MASS",,38,101,121,16,11,4,0,1,13,13,13,31,2,1,4,0,0,1,0.158415841,"Chris Pearsons","sa3039605",
"Alex Thurston","VAL",,40,120,146,19,12,5,2,0,12,9,21,50,0,0,5,1,1,0,0.158333333,"Alex Thurston","sa3043813",
"MicKyren Bentley","UAPB",,8,19,21,3,3,0,0,0,1,1,2,12,0,0,0,0,1,1,0.157894736,"MicKyren Bentley","sa3026994",
"Jackson Boyd","COFC",,9,19,21,3,1,2,0,0,3,2,2,8,0,0,0,0,0,0,0.157894736,"Jackson Boyd","sa3027508",
"Adam Frank","MIA",22,13,19,19,3,3,0,0,0,2,2,0,6,0,0,0,2,0,0,0.157894736,"Adam Frank","sa3031638",
"Gunner Hellstrom","NEB",22,12,19,24,3,2,1,0,0,2,3,1,2,1,1,2,1,0,0,0.157894736,"Gunner Hellstrom","sa3033564",
"Chipper Holland","TOL",,11,19,21,3,3,0,0,0,2,0,1,9,0,0,1,1,1,0,0.157894736,"Chipper Holland","sa3033974",
"Jake Holland","GT",,15,38,42,6,3,1,1,1,4,6,4,17,0,0,0,1,0,0,0.157894736,"Jake Holland","sa3033975",
"GC Jarman","UNCG",,23,38,47,6,6,0,0,0,4,4,7,12,0,1,1,0,1,0,0.157894736,"GC Jarman","sa3034588",
"Ethan Loveless","PORT",20,9,19,20,3,2,1,0,0,1,0,1,5,0,0,0,0,0,0,0.157894736,"Ethan Loveless","sa3036593",
"Garrett Maish","PFW",,17,19,21,3,2,1,0,0,2,3,2,7,0,0,0,0,0,0,0.157894736,"Garrett Maish","sa3036883",
"Dontae Mitchell","USF",,11,19,21,3,3,0,0,0,3,3,1,10,0,1,0,0,0,0,0.157894736,"Dontae Mitchell","sa3038165",
"Quinton Morris","MILW",,19,38,41,6,4,1,0,1,4,8,2,17,1,0,0,2,0,0,0.157894736,"Quinton Morris","sa3038419",
"Zach Patterson","PAC",22,32,57,62,9,7,1,1,0,8,3,1,17,4,0,0,1,0,0,0.157894736,"Zach Patterson","sa3039545",
"Anthony Schooley","VILL",,10,19,25,3,3,0,0,0,2,2,4,11,0,1,1,0,1,0,0.157894736,"Anthony Schooley","sa3041763",
"JP Sponseller","ELON",,23,38,46,6,5,0,0,1,4,6,5,13,1,2,0,1,0,0,0.157894736,"JP Sponseller","sa3042863",
"Evan Spry","CREI",,17,19,24,3,3,0,0,0,1,0,3,6,0,0,2,1,0,0,0.157894736,"Evan Spry","sa3042882",
"Grant Voytovich","BUCK",19,12,38,45,6,5,1,0,0,4,2,4,10,3,0,0,0,2,0,0.157894736,"Grant Voytovich","sa3044587",
"Nate White","AMCC",,19,19,23,3,3,0,0,0,4,0,3,7,1,0,0,1,1,1,0.157894736,"Nate White","sa3045129",
"Parker Wielt","SIUE",,16,19,21,3,3,0,0,0,0,1,1,6,1,0,0,0,0,0,0.157894736,"Parker Wielt","sa3045178",
"Slade Wilks","USM",,30,57,65,9,3,3,1,2,6,8,5,18,3,0,0,2,0,0,0.157894736,"Slade Wilks","sa3045231",
"Blake Griffith","OAK",23,35,89,105,14,11,1,0,2,11,9,10,21,4,1,1,3,1,0,0.15730337,"Blake Griffith","sa3032711",
"Seth Surrett","LIU",20,26,70,81,11,11,0,0,0,14,8,5,11,2,2,2,0,7,0,0.157142857,"Seth Surrett","sa3043340",
"Chance Bodine","EKU",,23,51,58,8,3,3,0,2,4,5,4,20,2,1,0,2,0,0,0.156862745,"Chance Bodine","sa3027306",
"RJ Farrell","AAMU",,13,32,34,5,3,0,1,1,5,4,2,13,0,0,0,0,2,0,0.15625,"RJ Farrell","sa3031172",
"Gabe Irwin","SFA",20,18,32,34,5,4,1,0,0,5,2,2,12,0,0,0,0,0,0,0.15625,"Gabe Irwin","sa3034452",
"Sean Mulcare","PORT",20,16,32,37,5,1,3,0,1,5,8,3,17,1,1,0,0,0,0,0.15625,"Sean Mulcare","sa3038527",
"Luke Napolitano","HOF",19,13,32,34,5,4,0,1,0,3,7,2,16,0,0,0,0,0,0,0.15625,"Luke Napolitano","sa3038676",
"Kade Preston","CMU",,21,32,35,5,2,2,1,0,4,6,2,16,1,0,0,0,0,0,0.15625,"Kade Preston","sa3040191",
"Collin Shapiro","MASS",,29,96,120,15,14,1,0,0,16,3,18,23,2,1,3,1,2,3,0.15625,"Collin Shapiro","sa3042063",
"Noah Lebron","PRES",,22,45,54,7,4,1,0,2,8,5,3,12,4,1,1,0,1,0,0.155555555,"Noah Lebron","sa3036130",
"Calvin McCall","URI",20,25,58,73,9,6,1,2,0,7,9,8,13,7,0,0,2,1,1,0.155172413,"Calvin McCall","sa3037439",
"Ethan Payne","UCR",,42,116,129,18,12,3,1,2,12,14,7,48,2,1,3,3,0,0,0.155172413,"Ethan Payne","sa3039580",
"Blake FitzGerald","UCSD",,28,71,91,11,6,2,0,3,14,10,17,14,1,1,1,4,0,0,0.154929577,"Blake FitzGerald","sa3031398",
