Name,Team,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,NameASCII,PlayerId,MLBAMID
"Angel Zarate","UNC",22,320,0.09375,0.115625,0.81081081,0.352112676,0.425,0.5,0.925,0.147887324,4.455159297266594,0.3875,-0.7545109102502465,65.43355687021096,7.681839302767125,0.4159613521769643,113.30149063323714,"Angel Zarate","sa3020825",702311
"Jake Escalon","TAR",20,97,0.072164948,0.329896907,0.21875,0.302325581,0.37113402,0.53488372,0.90601774,0.232558139,2.808027384712238,0.42,-0.297561586368829,17.426306900805546,2.041472119516445,0.39589651343748744,113.26937954510414,"Jake Escalon","sa3031001",
"Cole Frederick","JVST",,255,0.05490196,0.184313725,0.29787234,0.308695652,0.367588932,0.486956521,0.854545453,0.178260869,6.019867801347571,0.36158192,0.10115939262323081,43.682234459963325,5.113627636280544,0.3896274778682724,113.25852307722081,"Cole Frederick","sa3031672",
"Mcgwire Holbrook","WVU",20,197,0.111675126,0.0964467,1.157894736,0.32748538,0.401015228,0.508771929,0.909787157,0.181286549,4.029783751834365,0.335570469,0.15675256960093975,37.86573283169674,4.4153679886858335,0.4062342531789983,113.19976032969453,"Mcgwire Holbrook","sa3033947",
"Evan Berkey","EVAN",22,244,0.102459016,0.225409836,0.454545454,0.272727272,0.397540983,0.469696969,0.867237952,0.196969697,6.373379837179137,0.323529411,-0.6446502059698105,44.47057748822594,5.183560083192831,0.3938370112512932,113.19407892371274,"Evan Berkey","sa3027044",
"Wellington Balsley","COPP",23,261,0.137931034,0.084291187,1.636363636,0.291262135,0.408730158,0.364077669,0.772807827,0.072815534,8.998320093089797,0.320855614,-0.1818121782853268,45.67008750490917,5.303753245399129,0.3923266522941135,113.13905100052428,"Wellington Balsley","sa3026499",
"Jake Greiving","AFA",,235,0.051063829,0.191489361,0.266666666,0.315270935,0.391489361,0.551724137,0.943213498,0.236453202,2.64285714,0.350993377,0.0465905845630914,45.95540282876277,5.331860907385589,0.4078612307284741,113.12505176851609,"Jake Greiving","sa3032699",
"Jared Toler","ARST",,210,0.1,0.228571428,0.4375,0.294444444,0.37799043,0.516666666,0.894657096,0.222222222,2.05691964,0.344,-0.13586443499661982,37.56298886955011,4.353538028600093,0.39699548283262115,113.10933459710155,"Jared Toler","sa3043895",
"Brandt Belk","SC",,227,0.110132158,0.088105726,1.25,0.340425531,0.420353982,0.5,0.920353982,0.159574469,6.098374118342635,0.343195266,-0.5550524219870567,44.7440557849731,5.183036379250482,0.4083634248349519,113.10137215144852,"Brandt Belk","sa3026892",
"Spencer Hanson","KENN",,193,0.077720207,0.18134715,0.428571428,0.311377245,0.38095238,0.461077844,0.842030224,0.149700599,5.297560988365911,0.369230769,0.08393305353820324,33.013773129802104,3.8226314946225806,0.3893548698021621,113.09517641480579,"Spencer Hanson","sa3033186",
