Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,IP,TBF,H,R,ER,HR,BB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Cam Keaveney","NE",20,0,0,9,3,0,0,0,0,3,14,3,3,3,1,1,2,1,0,3,"Cam Keaveney","sa3076262",
"Chris Coy","OMA",,0,1,2.7000000643730178,3,1,0,0,1,3.1,19,6,5,1,1,2,1,0,0,3,"Chris Coy","sa3076287",
"JC Acosta","NWST",,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,2,"JC Acosta","sa3025734",
"Garner Anderson","UTM",,0,0,0,2,1,0,0,0,2,7,2,0,0,0,0,0,0,0,2,"Garner Anderson","sa3026040",
"Andrew Argenziano","COLU",22,0,0,9,2,0,0,0,0,2,13,4,2,2,0,3,0,1,0,2,"Andrew Argenziano","sa3026174",
"Grant Aycock","UNCG",,0,0,2.076923000741995,3,0,0,0,0,4.1,21,6,2,1,0,1,0,1,0,2,"Grant Aycock","sa3026334",
"Andrew Ayers","SBU",,0,0,27.00000064373018,3,0,0,0,0,1.2,16,6,5,5,0,1,4,1,0,2,"Andrew Ayers","sa3026335",
"Will Banks","DAV",22,0,0,31.5,4,0,0,0,0,2,20,6,9,7,1,5,1,4,0,2,"Will Banks","sa3026522",
"Andrew Baumgart","NIA",23,0,0,5.4000001287460355,4,2,0,0,0,6.2,32,8,4,4,1,4,1,2,0,2,"Andrew Baumgart","sa3026752",
"Drew Brady","DSU",,0,0,13.49999959766866,5,0,0,0,0,2.2,23,2,7,4,0,11,2,1,0,2,"Drew Brady","sa3027565",
"Murphy Brooks","UL",22,2,0,7.714285977032729,3,0,0,0,0,2.1,11,1,2,2,0,3,0,0,0,2,"Murphy Brooks","sa3027765",
"Bryce Calloway","UGA",23,0,0,0,1,0,0,0,0,1,5,1,0,0,0,1,0,0,0,2,"Bryce Calloway","sa3028288",
"Bobby Chicoine","BC",22,0,0,8.100000193119053,5,0,0,0,0,3.1,16,4,4,3,0,3,1,1,0,2,"Bobby Chicoine","sa3028838",
"Evan Clark","ND",24,1,0,7.714285977032729,4,0,0,0,0,2.1,12,3,2,2,1,2,0,1,0,2,"Evan Clark","sa3028978",
"Vincent Corso","WAG",24,0,0,15.428571954065458,6,0,0,0,0,4.2,27,4,9,8,1,10,1,2,0,2,"Vincent Corso","sa3029415",
"Josh Fernald","JAX",,0,0,18,4,0,0,0,0,2,13,0,4,4,0,7,0,1,0,2,"Josh Fernald","sa3031262",
"Ethan Firestein","BUCK",,0,0,36,4,0,0,0,0,2,17,4,8,8,0,7,0,3,0,2,"Ethan Firestein","sa3031360",
"Jackson Fraser","NKU",25,0,0,13.49999959766866,3,0,0,0,0,1.1,9,1,2,2,0,3,1,2,0,2,"Jackson Fraser","sa3031659",
"Joseph Fredericks","MD",22,0,0,18.900000450611124,5,0,0,0,0,3.1,21,6,7,7,0,6,1,0,0,2,"Joseph Fredericks","sa3031675",
"Will Gallagher","RID",,0,0,2.25,3,0,0,0,0,4,16,4,1,1,0,1,0,0,0,2,"Will Gallagher","sa3031859",
"Aidan Gelbsman","BC",21,0,0,0,2,0,0,0,0,1.1,8,1,0,0,0,1,2,0,0,2,"Aidan Gelbsman","sa3032102",
"Shemar Harris","JKST",21,0,0,22.5,7,0,0,0,0,4,30,10,12,10,2,2,6,1,0,2,"Shemar Harris","sa3033304",
"Aidan Hatcher","BUT",22,0,0,15.428571954065458,3,0,0,0,0,2.1,20,5,10,4,0,6,1,2,0,2,"Aidan Hatcher","sa3033384",
"Max Hippensteel","UCD",,0,1,22.84615300816195,7,0,0,0,0,4.1,30,10,11,11,2,6,1,2,0,2,"Max Hippensteel","sa3033869",
"Bradley Hodges","SC",22,0,0,16.200000386238106,2,1,0,0,0,3.1,18,2,6,6,0,5,2,0,0,2,"Bradley Hodges","sa3033896",
"Jed Howard","DAV",,0,0,5.4000001287460355,3,0,0,0,0,1.2,11,1,1,1,0,3,1,0,0,2,"Jed Howard","sa3034168",
"Ethan Hsu","PRIN",,0,0,6,3,0,0,0,0,3,14,1,2,2,0,3,2,1,0,2,"Ethan Hsu","sa3034203",
"Henry Hultquist","DAV",21,0,0,18,3,0,0,0,0,1,11,2,3,2,0,6,0,0,0,2,"Henry Hultquist","sa3034289",
"Will Kent","SDST",23,0,0,27,8,0,0,0,0,6,45,8,19,18,3,16,3,2,0,2,"Will Kent","sa3035286",
"Niko Kreuzer","BUT",,0,0,29.076922010387936,6,0,0,0,0,4.1,34,13,16,14,1,3,4,2,0,2,"Niko Kreuzer","sa3035716",
"Lucas Letsinger","BELL",23,0,2,30,2,2,0,0,0,3,26,13,14,10,1,2,1,0,0,2,"Lucas Letsinger","sa3036263",
"Cole McMichael","BELL",23,0,0,9.642857471290911,4,0,0,0,0,4.2,24,2,5,5,0,6,2,0,0,2,"Cole McMichael","sa3037709",
"Kyle Mueller","PRES",22,0,0,9,1,1,0,0,0,3,16,4,3,3,0,3,0,0,0,2,"Kyle Mueller","sa3038513",
"Mason Murdock","UNCW",22,0,1,9,7,0,0,0,0,5,27,5,6,5,0,6,0,2,0,2,"Mason Murdock","sa3038570",
"Magnus Nelson","SF",21,0,0,15.428571954065458,3,0,0,0,0,2.1,17,7,5,4,0,3,1,2,0,2,"Magnus Nelson","sa3038757",
"Liam OHearen","LEH",22,0,1,9,1,0,0,0,0,2,10,0,2,2,0,3,1,0,0,2,"Liam OHearen","sa3039076",
"Logan Olson","PSU",22,0,0,27.00000064373018,4,0,0,0,0,1.2,17,4,5,5,0,6,2,2,0,2,"Logan Olson","sa3039137",
"Jack O'Malley","SJSU",21,0,0,26.99999919533732,1,0,0,0,0,0.2,6,2,2,2,1,1,1,2,0,2,"Jack O'Malley","sa3039149",
"Josh Ossiander","WCU",,0,0,40.49999879300598,2,0,0,0,0,1.1,10,4,6,6,2,1,1,0,0,2,"Josh Ossiander","sa3039248",
"Will Papciak","DAV",21,0,0,15.428571954065458,4,0,0,0,0,2.1,15,1,4,4,0,7,2,3,0,2,"Will Papciak","sa3039412",
"Aidan Rath","TULN",,1,0,10.124999698251495,4,0,0,0,0,2.2,16,3,3,3,1,4,1,0,0,2,"Aidan Rath","sa3040473",
"Will Ross","UNF",,1,0,7.043478406895314,4,2,0,0,0,7.2,43,8,6,6,0,7,0,1,0,2,"Will Ross","sa3041184",
"Kevin Rourke","UML",,0,2,11.571428965549092,6,0,0,0,0,4.2,26,9,11,6,0,4,1,1,0,2,"Kevin Rourke","sa3041210",
"Hunter Royal","LR",,0,1,15.428571954065458,7,0,0,0,0,4.2,27,3,8,8,1,8,3,0,0,2,"Hunter Royal","sa3041229",
"Connor Schumann","ODU",23,1,0,16,12,0,0,0,0,9,56,24,17,16,2,4,0,3,1,2,"Connor Schumann","sa3041820",
"Nolan Stevens","OU",21,0,0,0,1,0,0,0,0,0.2,2,0,0,0,0,0,0,0,0,2,"Nolan Stevens","sa3043084",
"Levi Strahm","YALE",21,0,0,4.5,2,0,0,0,0,2,12,3,1,1,1,3,1,0,0,2,"Levi Strahm","sa3043201",
"Everett Swaim","ACU",21,0,0,20.769230007419953,7,0,0,0,0,4.1,31,13,10,10,1,5,1,6,0,2,"Everett Swaim","sa3043365",
"Alex Thomas","BUT",21,0,0,29.45454481613539,5,1,0,0,0,3.2,32,9,12,12,2,9,3,1,0,2,"Alex Thomas","sa3043678",
"Jose Valerio","AAMU",21,0,0,13.49999959766866,2,0,0,0,0,1.1,10,1,2,2,0,2,3,2,0,2,"Jose Valerio","sa3044301",
