Predicted_Draft_Order,Tier,nameascii,draft_prob,rank_raw,pred_bonus,pred_slot,class_ord,total_college_seasons,eligibility_basis
278,Late,Ian Koosman,94.2,212.0054,100406.0,192394.0,3.0,1,class
279,Late,Jack Porter,95.5,212.30002,151306.0,294329.0,3.0,1,class
280,Late,Caleb Shpur,97.1,212.83858,27112.0,200656.0,4.0,2,class
281,Late,Reese Chapman,97.1,213.47794,208822.0,268695.0,3.0,3,seasons
282,Late,DeAmez Ross,99.7,213.67316,289548.0,411078.0,3.0,3,seasons
283,Late,Dylan Grego,99.1,214.38005,168990.0,215901.0,3.0,3,seasons
284,Late,Ben Grable,92.8,214.46002,41368.0,195768.0,4.0,3,seasons
285,Late,Zach Royse,99.2,215.08661,229952.0,294524.0,3.0,3,seasons
286,Late,Collin Rothermel,91.3,215.35997,51222.0,176535.0,4.0,3,seasons
287,Late,Easton Marks,96.3,216.2096,188244.0,294696.0,3.0,3,seasons
288,Late,Eric Genther,94.0,216.63431,33684.0,222359.0,4.0,4,seasons
289,Late,Karson Bowen,97.2,218.09076,158968.0,349125.0,3.0,3,seasons
290,Late,Mason Lytle,97.9,219.11824,45474.0,200298.0,4.0,3,seasons
291,Late,Kyle West,98.4,219.13261,40961.0,186558.0,4.0,2,class
292,Late,Jake Brink,94.9,219.86697,152039.0,318669.0,3.0,3,seasons
293,Late,A.J. Salgado,98.5,220.24591,46418.0,220482.0,4.0,3,seasons
294,Late,AJ Guerrero,93.1,220.39264,43545.0,271926.0,4.0,4,seasons
295,Late,Matthew Becker,92.8,220.45564,82874.0,211548.0,4.0,4,seasons
296,Late,Bryce Chance,94.3,222.03119,276756.0,368984.0,3.0,3,seasons
297,Late,Jack Hopko,95.3,223.54372,239043.0,344985.0,3.0,3,seasons
298,Late,Jacob Frost,94.5,223.63435,54914.0,188062.0,4.0,2,class
299,Late,Trystan Levesque,92.4,224.00323,40133.0,213666.0,4.0,5,seasons
300,Late,Lorenzo Meola,98.9,225.05418,157382.0,249674.0,3.0,3,seasons
