Rank,Team,Conference,Conference_Record,Conference_Record_Wins,Conference_Record_Losses,Overall_Record,Overall_Record_Wins,Overall_Record_Losses,SOS,NC_Rec,NC_Rec_Wins,NC_Rec_Losses,NC_RPI,NC_SOS,H,H_Wins,H_Losses,R,R_Wins,R_Losses,N,N_Wins,N_Losses,Q1,Q1_Wins,Q1_Losses,Q2,Q2_Wins,Q2_Losses,Q3,Q3_Wins,Q3_Losses,Q4,Q4_Wins,Q4_Losses
273,Akron,Mid-American,11-22,11,22,20-34,20,34,274,9-12,9,12,283,306,7-14,7,14,12-18,12,18,1-2,1,2,0-3,0,3,0-8,0,8,3-10,3,10,17-13,17,13
274,Presbyterian College,Big South,8-16,8,16,12-44,12,44,121,4-28,4,28,295,145,8-17,8,17,4-27,4,27,0-0,0,0,0-7,0,7,3-10,3,10,2-17,2,17,7-10,7,10
275,Northern Kentucky,Horizon League,12-12,12,12,24-30,24,30,294,12-16,12,16,223,232,15-8,15,8,6-20,6,20,3-2,3,2,0-4,0,4,0-3,0,3,4-9,4,9,20-14,20,14
276,Cornell,Ivy League,8-13,8,13,11-26,11,26,231,3-13,3,13,255,148,5-8,5,8,6-14,6,14,0-4,0,4,0-2,0,2,1-0,1,0,4-14,4,14,6-10,6,10
277,Albany,America East,9-15,9,15,15-34,15,34,246,6-18,6,18,287,226,7-9,7,9,8-21,8,21,0-4,0,4,0-0,0,0,0-3,0,3,5-19,5,19,10-12,10,12
278,Valparaiso,Missouri Valley,5-19,5,19,12-38,12,38,201,7-19,7,19,170,104,4-9,4,9,8-26,8,26,0-3,0,3,0-4,0,4,2-5,2,5,5-17,5,17,5-12,5,12
279,North Carolina A&T,Coastal Athletic,5-25,5,25,14-38,14,38,169,9-13,9,13,221,181,8-19,8,19,5-17,5,17,1-2,1,2,0-4,0,4,2-3,2,3,5-19,5,19,7-12,7,12
280,Youngstown State,Horizon League,12-12,12,12,15-39,15,39,251,3-26,3,26,282,126,4-10,4,10,11-28,11,28,0-1,0,1,0-9,0,9,1-3,1,3,6-8,6,8,8-19,8,19
281,George Washington,Atlantic 10,9-21,9,21,18-35,18,35,235,9-14,9,14,286,277,13-16,13,16,5-19,5,19,0-0,0,0,0-1,0,1,3-6,3,6,0-10,0,10,15-18,15,18
282,Lehigh,Patriot League,8-18,8,18,14-31,14,31,255,6-13,6,13,278,283,6-11,6,11,8-20,8,20,0-0,0,0,0-3,0,3,0-1,0,1,2-12,2,12,12-15,12,15
283,Utah Valley,Western Athletic,4-14,4,14,15-35,15,35,223,11-21,11,21,289,282,9-13,9,13,6-22,6,22,0-0,0,0,0-5,0,5,1-9,1,9,3-12,3,12,11-9,11,9
284,North Dakota State,The Summit League,9-16,9,16,13-32,13,32,270,4-16,4,16,197,67,4-5,4,5,8-26,8,26,1-1,1,1,0-2,0,2,3-9,3,9,4-9,4,9,6-12,6,12
285,Saint Bonaventure,Atlantic 10,7-23,7,23,13-36-1,13,36,217,6-13-1,6,13,238,236,9-9,9,9,4-27-1,4,27,0-0,0,0,0-1-0,0,1,0-7-0,0,7,2-14-1,2,14,11-14-0,11,14
286,Lafayette,Patriot League,7-19,7,19,12-33,12,33,237,5-14,5,14,273,250,6-10,6,10,6-23,6,23,0-0,0,0,1-6,1,6,0-0,0,0,4-15,4,15,7-12,7,12
287,Loyola-Marymount,West Coast,3-24,3,24,12-44,12,44,138,9-20,9,20,196,62,9-16,9,16,1-28,1,28,2-0,2,0,0-12,0,12,0-3,0,3,3-9,3,9,9-20,9,20
288,Fresno State,Mountain West,3-20-1,3,20,14-38-1,14,38,206,11-18,11,18,253,230,9-19,9,19,5-19-1,5,19,0-0,0,0,0-0-0,0,0,4-4-0,4,4,0-20-1,0,20,10-14-0,10,14
289,Texas Southern,SWAC,15-12,15,12,20-23,20,23,306,4-9,4,9,271,275,9-6,9,6,7-13,7,13,4-4,4,4,0-0,0,0,0-2,0,2,1-8,1,8,19-13,19,13
290,NJIT,America East,6-18,6,18,16-31-1,16,31,277,10-13-1,10,13,261,280,7-16-1,7,16,7-15,7,15,2-0,2,0,1-1-0,1,1,0-5-0,0,5,4-7-0,4,7,11-18-1,11,18
291,Bradley,Missouri Valley,6-18,6,18,11-45,11,45,218,5-27,5,27,280,175,2-13,2,13,8-31,8,31,1-1,1,1,0-1,0,1,2-7,2,7,4-19,4,19,5-18,5,18
292,Ohio,Mid-American,8-25,8,25,11-43,11,43,214,3-18,3,18,300,243,2-18,2,18,8-23,8,23,1-2,1,2,1-4,1,4,0-4,0,4,6-11,6,11,4-24,4,24
293,Jackson State,SWAC,16-14,16,14,23-27,23,27,308,7-11,7,11,240,238,11-9,11,9,9-13,9,13,3-5,3,5,0-2,0,2,0-0,0,0,2-4,2,4,21-21,21,21
294,Oakland,Horizon League,5-19,5,19,12-42,12,42,236,5-21,5,21,203,41,4-12,4,12,6-28,6,28,2-2,2,2,1-8,1,8,2-5,2,5,1-11,1,11,8-18,8,18
295,Saint Thomas,The Summit League,9-18,9,18,12-38,12,38,262,3-20,3,20,263,106,5-10,5,10,7-27,7,27,0-1,0,1,1-3,1,3,0-4,0,4,3-18,3,18,8-13,8,13
296,Northern Colorado,The Summit League,13-15,13,15,17-38,17,38,287,3-21,3,21,299,245,8-8,8,8,8-28,8,28,1-2,1,2,0-2,0,2,0-0,0,0,2-19,2,19,15-17,15,17
297,Central Connecticut,NEC,13-20,13,20,17-27,17,27,305,4-7,4,7,216,220,9-12,9,12,8-15,8,15,0-0,0,0,0-0,0,0,0-0,0,0,1-9,1,9,16-18,16,18
298,Mercyhurst,NEC,14-19,14,19,15-32,15,32,295,1-13,1,13,296,95,9-13,9,13,6-15,6,15,0-4,0,4,0-2,0,2,0-4,0,4,1-3,1,3,14-23,14,23
299,Mississippi Valley State,SWAC,8-22,8,22,12-36,12,36,293,4-14,4,14,259,214,5-7,5,7,6-28,6,28,1-1,1,1,0-2,0,2,0-1,0,1,2-16,2,16,10-17,10,17
300,Norfolk State,NEC,16-17,16,17,19-31,19,31,303,3-14,3,14,302,263,13-19,13,19,6-12,6,12,0-0,0,0,0-0,0,0,1-1,1,1,0-8,0,8,18-22,18,22
301,New Haven,NEC,12-18,12,18,12-33,12,33,299,0-15,0,15,303,188,7-11,7,11,5-19,5,19,0-3,0,3,0-3,0,3,0-1,0,1,0-10,0,10,12-19,12,19
302,Prairie View A&M,SWAC,10-18,10,18,12-35,12,35,298,2-17,2,17,305,281,5-10,5,10,3-24,3,24,4-1,4,1,0-1,0,1,0-0,0,0,1-18,1,18,11-16,11,16
303,Coppin State,NEC,11-22,11,22,11-37,11,37,301,0-15,0,15,306,218,7-18,7,18,4-19,4,19,0-0,0,0,0-3,0,3,0-0,0,0,1-9,1,9,10-25,10,25
304,Delaware State,NEC,8-25,8,25,8-42,8,42,300,0-17,0,17,307,231,3-12,3,12,5-30,5,30,0-0,0,0,0-0,0,0,0-0,0,0,0-13,0,13,8-29,8,29
305,Alabama A&M,SWAC,4-26,4,26,7-44,7,44,292,3-18,3,18,298,227,3-14,3,14,1-22,1,22,3-8,3,8,0-2,0,2,0-3,0,3,1-8,1,8,6-31,6,31
306,Saint Peter's,MAAC,1-29,1,29,5-47,5,47,288,4-18,4,18,304,304,1-16,1,16,4-31,4,31,0-0,0,0,0-0,0,0,0-3,0,3,1-6,1,6,4-38,4,38
307,Alcorn State,SWAC,3-25,3,25,4-42,4,42,281,1-17,1,17,288,55,1-15,1,15,2-23,2,23,1-4,1,4,0-5,0,5,0-1,0,1,0-6,0,6,4-30,4,30
308,Maryland Eastern Shore,NEC,8-25,8,25,9-39,9,39,307,1-14,1,14,308,294,4-16,4,16,5-23,5,23,0-0,0,0,0-0,0,0,0-0,0,0,0-8,0,8,9-31,9,31
